seed,fold,model,condition,accuracy,balanced_accuracy,precision,fake_recall,real_recall,binary_f1,macro_f1,auroc,auprc,recall,f1
42,adm,b2,clean,0.9075,0.9075,0.9358288770053476,0.875,0.94,0.9043927648578811,0.9074021935669551,0.9685,0.9603294319272748,0.875,0.9043927648578811
42,adm,b2,jpeg,0.8925,0.8925000000000001,0.8685446009389671,0.925,0.86,0.8958837772397095,0.8923863330642992,0.952275,0.9470555225078285,0.925,0.8958837772397095
42,adm,b2,resize,0.8725,0.8725,0.8117154811715481,0.97,0.775,0.8838268792710706,0.8712763205219619,0.954825,0.9321812461869289,0.97,0.8838268792710706
42,adm,b2,blur,0.855,0.855,0.7983193277310925,0.95,0.76,0.867579908675799,0.8536794571003304,0.9474,0.9223102613525281,0.95,0.867579908675799
42,adm,s2,clean,0.95,0.95,0.9736842105263158,0.925,0.975,0.9487179487179487,0.9499687304565353,0.9929,0.9918556744864104,0.925,0.9487179487179487
42,adm,s2,jpeg,0.8925,0.8925000000000001,0.9197860962566845,0.86,0.925,0.8888888888888888,0.8923863330642992,0.967175,0.9669377567829704,0.86,0.8888888888888888
42,adm,s2,resize,0.9525,0.9524999999999999,0.9641025641025641,0.94,0.965,0.9518987341772152,0.9524925769651508,0.987,0.9822378347765081,0.94,0.9518987341772152
42,adm,s2,blur,0.9325,0.9325,0.9481865284974094,0.915,0.95,0.9312977099236641,0.9324793217922989,0.9811000000000001,0.9722886625911833,0.915,0.9312977099236641
42,biggan,b2,clean,0.965,0.965,0.9558823529411765,0.975,0.955,0.9653465346534653,0.9649964996499649,0.995725,0.995641490516638,0.975,0.9653465346534653
42,biggan,b2,jpeg,0.88,0.8799999999999999,0.8392857142857143,0.94,0.82,0.8867924528301887,0.8795664391810518,0.9563750000000001,0.9554130522342181,0.94,0.8867924528301887
42,biggan,b2,resize,0.8675,0.8675,0.92,0.805,0.93,0.8586666666666667,0.8669803921568627,0.9276749999999999,0.9304820161993779,0.805,0.8586666666666667
42,biggan,b2,blur,0.865,0.865,0.8842105263157894,0.84,0.89,0.8615384615384616,0.8649155722326454,0.9419,0.9425216712594295,0.84,0.8615384615384616
42,biggan,s2,clean,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.999675,0.9996755844377736,0.99,0.99
42,biggan,s2,jpeg,0.9625,0.9624999999999999,0.9512195121951219,0.975,0.95,0.9629629629629629,0.9624941397093296,0.9961625000000001,0.9962763851040992,0.975,0.9629629629629629
42,biggan,s2,resize,0.955,0.9550000000000001,0.9840425531914894,0.925,0.985,0.9536082474226805,0.9549594635171654,0.993575,0.9938692965022742,0.925,0.9536082474226805
42,biggan,s2,blur,0.9325,0.9325,0.9576719576719577,0.905,0.96,0.9305912596401028,0.9324489144915842,0.9893375,0.9891739644570974,0.905,0.9305912596401028
42,stable_diffusion_v15,b2,clean,0.555,0.555,0.9583333333333334,0.115,0.995,0.20535714285714285,0.44816468253968256,0.933925,0.9152538462607057,0.115,0.20535714285714285
42,stable_diffusion_v15,b2,jpeg,0.72,0.72,0.9313725490196079,0.475,0.965,0.6291390728476821,0.7021197372270539,0.903825,0.8928129370903266,0.475,0.6291390728476821
42,stable_diffusion_v15,b2,resize,0.6025,0.6025,0.9555555555555556,0.215,0.99,0.3510204081632653,0.5322669608383894,0.876225,0.8649845916167088,0.215,0.3510204081632653
42,stable_diffusion_v15,b2,blur,0.66,0.66,0.9705882352941176,0.33,0.99,0.4925373134328358,0.6184491078442375,0.8739999999999999,0.8616711688813571,0.33,0.4925373134328358
42,stable_diffusion_v15,s2,clean,0.62,0.62,1.0,0.24,1.0,0.3870967741935484,0.5558672276764843,0.9740624999999999,0.9711871881627364,0.24,0.3870967741935484
42,stable_diffusion_v15,s2,jpeg,0.8525,0.8525,0.9548387096774194,0.74,0.965,0.8338028169014085,0.8506092736192435,0.9642000000000001,0.9638447933514522,0.74,0.8338028169014085
42,stable_diffusion_v15,s2,resize,0.6325,0.6325000000000001,0.9818181818181818,0.27,0.995,0.4235294117647059,0.576902320561252,0.9598375,0.9529909085208711,0.27,0.4235294117647059
42,stable_diffusion_v15,s2,blur,0.745,0.745,0.9622641509433962,0.51,0.98,0.6666666666666666,0.7300944669365722,0.9640875,0.9492350415627391,0.51,0.6666666666666666
43,adm,b2,clean,0.9125,0.9125000000000001,0.9319371727748691,0.89,0.935,0.9104859335038363,0.9124556806883485,0.967125,0.9586924674732327,0.89,0.9104859335038363
43,adm,b2,jpeg,0.8925,0.8925000000000001,0.8685446009389671,0.925,0.86,0.8958837772397095,0.8923863330642992,0.953375,0.9488659926088472,0.925,0.8958837772397095
43,adm,b2,resize,0.865,0.865,0.7967479674796748,0.98,0.75,0.8789237668161435,0.8631906969673937,0.9545,0.9330154759839197,0.98,0.8789237668161435
43,adm,b2,blur,0.855,0.855,0.7909836065573771,0.965,0.745,0.8693693693693694,0.8532240105273814,0.947775,0.9248508070698075,0.965,0.8693693693693694
43,adm,s2,clean,0.975,0.975,0.9656862745098039,0.985,0.965,0.9752475247524752,0.974997499749975,0.9941874999999999,0.9931849721045221,0.985,0.9752475247524752
43,adm,s2,jpeg,0.8975,0.8975,0.8994974874371859,0.895,0.9,0.8972431077694235,0.8974993593709961,0.9683625,0.9669187674950603,0.895,0.8972431077694235
43,adm,s2,resize,0.935,0.935,0.8954545454545455,0.985,0.885,0.9380952380952381,0.9348370927318296,0.9891124999999998,0.9854560270667407,0.985,0.9380952380952381
43,adm,s2,blur,0.9275,0.9275,0.88,0.99,0.865,0.9317647058823529,0.9272156862745098,0.9849125000000001,0.9792307449285361,0.99,0.9317647058823529
43,biggan,b2,clean,0.965,0.965,0.9603960396039604,0.97,0.96,0.9651741293532339,0.9649991249781245,0.9950749999999999,0.99500794179592,0.97,0.9651741293532339
43,biggan,b2,jpeg,0.865,0.865,0.8348623853211009,0.91,0.82,0.8708133971291866,0.864726070292342,0.95195,0.9507499942098636,0.91,0.8708133971291866
43,biggan,b2,resize,0.855,0.855,0.9226190476190477,0.775,0.935,0.842391304347826,0.8540660225442833,0.919925,0.920653879157773,0.775,0.842391304347826
43,biggan,b2,blur,0.8575,0.8575,0.8950276243093923,0.81,0.905,0.8503937007874016,0.8571777573149418,0.93525,0.9359218727754414,0.81,0.8503937007874016
43,biggan,s2,clean,0.9925,0.9924999999999999,0.9852216748768473,1.0,0.985,0.9925558312655087,0.9924995781012682,0.9998875000000002,0.9998756181775832,1.0,0.9925558312655087
43,biggan,s2,jpeg,0.9625,0.9625,0.9383886255924171,0.99,0.935,0.9635036496350365,0.9624716191619913,0.9965999999999999,0.9969344546894214,0.99,0.9635036496350365
43,biggan,s2,resize,0.955,0.9550000000000001,0.9333333333333333,0.98,0.93,0.9560975609756097,0.9549718574108819,0.99515,0.9953155998665565,0.98,0.9560975609756097
43,biggan,s2,blur,0.9175,0.9175,0.8646288209606987,0.99,0.845,0.9230769230769231,0.9170640680074642,0.9921625000000001,0.9924660735847485,0.99,0.9230769230769231
43,stable_diffusion_v15,b2,clean,0.5625,0.5625,0.9629629629629629,0.13,0.995,0.2290748898678414,0.4618323838518963,0.93435,0.9169837496594855,0.13,0.2290748898678414
43,stable_diffusion_v15,b2,jpeg,0.7325,0.7324999999999999,0.926605504587156,0.505,0.96,0.6537216828478964,0.7178995379616264,0.904175,0.8942276051910756,0.505,0.6537216828478964
43,stable_diffusion_v15,b2,resize,0.6125,0.6125,0.9591836734693877,0.235,0.99,0.37751004016064255,0.5481016625485609,0.8769,0.8656908756138495,0.235,0.37751004016064255
43,stable_diffusion_v15,b2,blur,0.665,0.665,0.9714285714285714,0.34,0.99,0.5037037037037037,0.6254367575122292,0.87485,0.8629449330008148,0.34,0.5037037037037037
43,stable_diffusion_v15,s2,clean,0.685,0.685,1.0,0.37,1.0,0.5401459854014599,0.6503011295828591,0.9844749999999999,0.9837473924724562,0.37,0.5401459854014599
43,stable_diffusion_v15,s2,jpeg,0.8675,0.8674999999999999,0.9622641509433962,0.765,0.97,0.8523676880222841,0.8660931410632963,0.9779125,0.9758309923256459,0.765,0.8523676880222841
43,stable_diffusion_v15,s2,resize,0.7475,0.7475,0.9626168224299065,0.515,0.98,0.6710097719869706,0.7330708089143778,0.9737125,0.9703922473717066,0.515,0.6710097719869706
43,stable_diffusion_v15,s2,blur,0.825,0.825,0.9642857142857143,0.675,0.975,0.7941176470588235,0.8209718670076727,0.9728625,0.9661668081758519,0.675,0.7941176470588235
44,adm,b2,clean,0.9125,0.9125,0.9365079365079365,0.885,0.94,0.910025706940874,0.9124337780446463,0.9690749999999999,0.9608104096993303,0.885,0.910025706940874
44,adm,b2,jpeg,0.895,0.895,0.8691588785046729,0.93,0.86,0.8985507246376812,0.8948712172411204,0.9542250000000001,0.9488870645888551,0.93,0.8985507246376812
44,adm,b2,resize,0.8675,0.8674999999999999,0.8049792531120332,0.97,0.765,0.8798185941043084,0.8660931410632963,0.9544000000000001,0.9310790388016413,0.97,0.8798185941043084
44,adm,b2,blur,0.8625,0.8625,0.8059071729957806,0.955,0.77,0.8741418764302059,0.8613133624575272,0.94805,0.922400045640841,0.955,0.8741418764302059
44,adm,s2,clean,0.955,0.9550000000000001,0.9739583333333334,0.935,0.975,0.9540816326530612,0.9549819927971188,0.9952375,0.9948692363899745,0.935,0.9540816326530612
44,adm,s2,jpeg,0.8975,0.8975,0.9344262295081968,0.855,0.94,0.8929503916449086,0.8973145243596246,0.9754,0.9758587951888447,0.855,0.8929503916449086
44,adm,s2,resize,0.97,0.97,0.9653465346534653,0.975,0.965,0.9701492537313433,0.9699992499812495,0.9915999999999999,0.9901473469512083,0.975,0.9701492537313433
44,adm,s2,blur,0.965,0.965,0.9603960396039604,0.97,0.96,0.9651741293532339,0.9649991249781245,0.9876875,0.9850838185906404,0.97,0.9651741293532339
44,biggan,b2,clean,0.9675,0.9675,0.9698492462311558,0.965,0.97,0.9674185463659147,0.9674997968737304,0.9953,0.9952614433493605,0.965,0.9674185463659147
44,biggan,b2,jpeg,0.88,0.88,0.8725490196078431,0.89,0.87,0.8811881188118812,0.87998799879988,0.9569749999999999,0.9570133295510881,0.89,0.8811881188118812
44,biggan,b2,resize,0.8225,0.8225,0.951048951048951,0.68,0.965,0.793002915451895,0.8188209325618337,0.9218249999999999,0.923739823530843,0.68,0.793002915451895
44,biggan,b2,blur,0.865,0.865,0.9506172839506173,0.77,0.96,0.850828729281768,0.8637705290244456,0.936925,0.9373634723509161,0.77,0.850828729281768
44,biggan,s2,clean,0.9875,0.9875,0.9899497487437185,0.985,0.99,0.9874686716791979,0.9874999218745117,0.9996999999999999,0.9997000906197351,0.985,0.9874686716791979
44,biggan,s2,jpeg,0.96,0.96,0.9509803921568627,0.97,0.95,0.9603960396039604,0.95999599959996,0.996475,0.9965731039445395,0.97,0.9603960396039604
44,biggan,s2,resize,0.9675,0.9675,0.9844559585492227,0.95,0.985,0.9669211195928753,0.9674900438259217,0.9964875,0.9965491476468351,0.95,0.9669211195928753
44,biggan,s2,blur,0.9575,0.9575,0.9692307692307692,0.945,0.97,0.9569620253164557,0.9574933583372403,0.994325,0.9943086034576353,0.945,0.9569620253164557
44,stable_diffusion_v15,b2,clean,0.5675,0.5675,0.9655172413793104,0.14,0.995,0.2445414847161572,0.4707821258957319,0.9336,0.9139727382006119,0.14,0.2445414847161572
44,stable_diffusion_v15,b2,jpeg,0.73,0.73,0.9181818181818182,0.505,0.955,0.6516129032258065,0.7156023699802502,0.9031750000000001,0.8928719644777681,0.505,0.6516129032258065
44,stable_diffusion_v15,b2,resize,0.6375,0.6375,0.9508196721311475,0.29,0.985,0.4444444444444444,0.5877138734281591,0.8743250000000001,0.8616263951137586,0.29,0.4444444444444444
44,stable_diffusion_v15,b2,blur,0.675,0.675,0.9375,0.375,0.975,0.5357142857142857,0.6428571428571428,0.8725500000000002,0.8572272788621731,0.375,0.5357142857142857
44,stable_diffusion_v15,s2,clean,0.545,0.545,1.0,0.09,1.0,0.1651376146788991,0.42621141902329834,0.9691,0.9647717447930237,0.09,0.1651376146788991
44,stable_diffusion_v15,s2,jpeg,0.75,0.75,0.9807692307692307,0.51,0.99,0.6710526315789473,0.7347198641765704,0.9700124999999999,0.9668862440649589,0.51,0.6710526315789473
44,stable_diffusion_v15,s2,resize,0.5825,0.5825,0.9714285714285714,0.17,0.995,0.28936170212765955,0.49689324044436073,0.9436125000000001,0.9360089697926479,0.17,0.28936170212765955
44,stable_diffusion_v15,s2,blur,0.6325,0.6325000000000001,0.9491525423728814,0.28,0.985,0.43243243243243246,0.5803566968077134,0.9450000000000001,0.934416167752474,0.28,0.43243243243243246
