model,evaluation,transform,num_samples,accuracy,balanced_accuracy,precision,recall,f1,auroc,robustness_drop
ResNet50,official_full,clean,45000,0.6233111111111111,0.5792133333333334,0.8688830646608983,0.64536,0.7406239958379875,0.6471518257777777,0.0
ResNet50,balanced_from_full_predictions,clean,15000,0.5772,0.5771999999999999,0.5684235405341527,0.6413333333333333,0.6026813682495927,0.6442123288888889,0.0
CLIP-MLP ViT-B/32,official_full,clean,45000,0.8372222222222222,0.6636666666666666,0.8856230031948882,0.924,0.9044045676998368,0.8078918755555556,0.0
CLIP-MLP ViT-B/32,balanced_from_full_predictions,clean,15000,0.6624,0.6624,0.6069734761988407,0.9214666666666668,0.7318648734512337,0.8075104355555555,0.0
ResNet50,balanced_robustness,jpeg,15000,0.5835333333333333,0.5835333333333333,0.5797784286260028,0.6070666666666666,0.5931088386634534,0.6362766133333333,0.00793584
ResNet50,balanced_robustness,resize,15000,0.4249333333333333,0.4249333333333333,0.4509068712940355,0.6894666666666667,0.5452340784479123,0.5040154133333333,0.14019704
ResNet50,balanced_robustness,blur,15000,0.4396,0.4396,0.4622751499000666,0.7401333333333333,0.5690998564691409,0.5255830311111112,0.1186294222222221
CLIP-MLP ViT-B/32,balanced_robustness,jpeg,15000,0.7066,0.7066,0.6475292773493287,0.9068,0.7555407432094651,0.8339972444444445,-0.0264858311111111
CLIP-MLP ViT-B/32,balanced_robustness,resize,15000,0.5604666666666667,0.5604666666666667,0.5343899294759991,0.9396,0.6812974331705902,0.7163742488888889,0.0911371644444444
CLIP-MLP ViT-B/32,balanced_robustness,blur,15000,0.5366,0.5366000000000001,0.5198783402129046,0.9572,0.673799802900183,0.6955488711111111,0.1119625422222222
