scope,metric,b2_mean,b2_sample_sd,a1_mean,a1_sample_sd,a1_minus_b2,seeds,threshold
genimage_unseen,accuracy,0.93325,0.0016393596310755,0.937,0.0031917863337009,0.00375,"42,43,44",0.5
genimage_unseen,balanced_accuracy,0.93325,0.0016393596310755,0.937,0.0031917863337009,0.00375,"42,43,44",0.5
genimage_unseen,precision,0.964288042792316,0.0017559121270939,0.969070749741326,0.0023172099843199,0.0047827069490099,"42,43,44",0.5
genimage_unseen,real_recall,0.9666666666666668,0.0018929694486,0.9711666666666668,0.0025166114784235,0.0045,"42,43,44",0.5
genimage_unseen,fake_recall,0.8998333333333333,0.0051316014394468,0.9028333333333334,0.0088928810479693,0.0030000000000001,"42,43,44",0.5
genimage_unseen,binary_f1,0.9309376657922658,0.0019420383919982,0.934756865153274,0.0036829537713548,0.0038191993610082,"42,43,44",0.5
genimage_unseen,macro_f1,0.9331745799755276,0.0016563144195852,0.9369241850727053,0.0032192125610869,0.0037496050971774,"42,43,44",0.5
genimage_unseen,auroc,0.9840714583333332,0.0002491985382347,0.9881944166666666,0.000128553571842,0.0041229583333333,"42,43,44",0.5
genimage_unseen,auprc,0.9818493092051253,0.0001554122086229,0.9874154168321786,0.0001365403222461,0.0055661076270534,"42,43,44",0.5
defactify_full,accuracy,0.8367185185185185,0.0009504601441389,0.8302518518518518,0.0041893653329596,-0.0064666666666667,"42,43,44",0.5
defactify_full,balanced_accuracy,0.6635244444444445,0.0096541190594903,0.6621866666666667,0.0114230721689823,-0.0013377777777777,"42,43,44",0.5
defactify_full,precision,0.8856419459534519,0.0036484669481666,0.8857617416036209,0.004601601472246,0.0001197956501689,"42,43,44",0.5
defactify_full,real_recall,0.4037333333333333,0.0254023620948918,0.4100888888888889,0.0347666080749479,0.0063555555555556,"42,43,44",0.5
defactify_full,fake_recall,0.9233155555555556,0.0061220959857927,0.9142844444444445,0.0119519135303529,-0.0090311111111113,"42,43,44",0.5
defactify_full,binary_f1,0.9040690770833312,0.0010624784440332,0.8997472620562474,0.0033843131664945,-0.0043218150270837,"42,43,44",0.5
defactify_full,macro_f1,0.6777942192482186,0.0066617242534349,0.6726471664762425,0.0060208803251964,-0.0051470527719761,"42,43,44",0.5
defactify_full,auroc,0.8090606334814815,0.0013180493178705,0.7960395792592593,0.0015835712362516,-0.0130210542222222,"42,43,44",0.5
defactify_full,auprc,0.94874262914311,0.0005492410189657,0.9459386158515196,0.0005408607200736,-0.0028040132915903,"42,43,44",0.5
defactify_balanced,accuracy,0.662,0.0097394957660947,0.6616222222222222,0.0118975876795505,-0.0003777777777778,"42,43,44",0.5
defactify_balanced,balanced_accuracy,0.662,0.0097394957660947,0.6616222222222222,0.0118975876795505,-0.0003777777777778,"42,43,44",0.5
defactify_balanced,precision,0.6069414576627572,0.0086319481593809,0.6077516527038949,0.011015205112515,0.0008101950411376,"42,43,44",0.5
defactify_balanced,real_recall,0.4037333333333333,0.0254023620948918,0.4100888888888889,0.0347666080749479,0.0063555555555556,"42,43,44",0.5
defactify_balanced,fake_recall,0.9202666666666668,0.0060236570656408,0.9131555555555556,0.0110210572861093,-0.0071111111111111,"42,43,44",0.5
defactify_balanced,binary_f1,0.7314127922336026,0.0044073374059049,0.7296843605581799,0.0045395173222077,-0.0017284316754226,"42,43,44",0.5
defactify_balanced,macro_f1,0.6377016644086972,0.0135724666749115,0.6384869803922738,0.0173708515163963,0.0007853159835765,"42,43,44",0.5
defactify_balanced,auroc,0.8087317422222222,0.0014849891626258,0.7950210429629629,0.0016161454750394,-0.0137106992592592,"42,43,44",0.5
defactify_balanced,auprc,0.8000355622884007,0.0022823231685308,0.7911506567272096,0.0019218044372392,-0.008884905561191,"42,43,44",0.5
