role,seed,scope,num_samples,accuracy,balanced_accuracy,precision,real_recall,fake_recall,binary_f1,macro_f1,auroc,auprc,confusion_matrix
B2,42,genimage_unseen,4000,0.933,0.933,0.965091299677766,0.9675,0.8985,0.9306059036768514,0.9329201582183192,0.9838525,0.9817089437815648,"[[1935, 65], [203, 1797]]"
B2,43,genimage_unseen,4000,0.935,0.935,0.9622741764080766,0.9645,0.9055,0.933024214322514,0.934943384480344,0.984342625,0.982016322260758,"[[1929, 71], [189, 1811]]"
B2,44,genimage_unseen,4000,0.93175,0.93175,0.9654986522911052,0.968,0.8955,0.929182879377432,0.9316601972279198,0.98401925,0.9818226615730526,"[[1936, 64], [209, 1791]]"
A1,42,genimage_unseen,4000,0.93625,0.93625,0.9693383539537386,0.9715,0.901,0.933920704845815,0.9361706880906208,0.9880475,0.9872634423787168,"[[1943, 57], [198, 1802]]"
A1,43,genimage_unseen,4000,0.9405,0.9405,0.9666313559322034,0.9685,0.9125,0.9387860082304528,0.940453315399273,0.9882495,0.9874550573435102,"[[1937, 63], [175, 1825]]"
A1,44,genimage_unseen,4000,0.93425,0.93425,0.9712425393380358,0.9735,0.895,0.9315638823835544,0.9341485517282218,0.98828625,0.9875277507743088,"[[1947, 53], [210, 1790]]"
B2,42,defactify_full,45000,0.8372222222222222,0.6636666666666666,0.8856230031948882,0.4033333333333333,0.924,0.9044045676998368,0.6783705081489839,0.8078918755555555,0.9482340453894584,"[[3025, 4475], [2850, 34650]]"
B2,43,defactify_full,45000,0.8373111111111111,0.6538,0.8820029872661451,0.3785333333333333,0.9290666666666668,0.9049233126842507,0.670863071835625,0.8088007626666667,0.9486687859546716,"[[2839, 4661], [2660, 34840]]"
B2,44,defactify_full,45000,0.8356222222222223,0.6731066666666667,0.8892998473993223,0.4293333333333333,0.91688,0.902879350865906,0.684149077760047,0.8104892622222223,0.9493250560851998,"[[3220, 4280], [3117, 34383]]"
A1,42,defactify_full,45000,0.8277777777777777,0.6669066666666666,0.8877130792889537,0.4256,0.9082133333333332,0.8978462025149606,0.6747615051063554,0.7942760568888889,0.9453243942217056,"[[3192, 4308], [3442, 34058]]"
A1,43,defactify_full,45000,0.8350888888888889,0.64916,0.880506008855155,0.3702666666666667,0.9280533333333332,0.9036546575787082,0.6658543037411846,0.7965027840000001,0.9461478534800069,"[[2777, 4723], [2698, 34802]]"
A1,44,defactify_full,45000,0.8278888888888889,0.6704933333333334,0.8890661366667538,0.4344,0.9065866666666668,0.8977409260750736,0.6773256905811873,0.797339896888889,0.9463435998528464,"[[3258, 4242], [3503, 33997]]"
B2,42,defactify_balanced,15000,0.6624,0.6624,0.6069734761988407,0.4033333333333333,0.9214666666666668,0.7318648734512337,0.638111670124933,0.8075104533333333,0.7979315018407244,"[[3025, 4475], [589, 6911]]"
B2,43,defactify_balanced,15000,0.6520666666666667,0.6520666666666667,0.5982935447729035,0.3785333333333333,0.9256,0.7267968381929539,0.6239288403133256,0.8083000177777777,0.7997132940475645,"[[2839, 4661], [558, 6942]]"
B2,44,defactify_balanced,15000,0.6715333333333333,0.6715333333333333,0.6155573520165274,0.4293333333333333,0.9137333333333332,0.73557666505662,0.6510644827878331,0.8103847555555557,0.802461890976913,"[[3220, 4280], [647, 6853]]"
A1,42,defactify_balanced,15000,0.6664666666666667,0.6664666666666667,0.6123459011967965,0.4256,0.9073333333333332,0.7312093697953044,0.6459243476709902,0.7932014488888889,0.7889442127279531,"[[3192, 4308], [695, 6805]]"
A1,43,defactify_balanced,15000,0.6480666666666667,0.6480666666666667,0.595182994771578,0.3702666666666667,0.9258666666666666,0.7245787029790787,0.6186357006079737,0.7955720444444444,0.7920488520124777,"[[2777, 4723], [556, 6944]]"
A1,44,defactify_balanced,15000,0.6703333333333333,0.6703333333333333,0.61572606214331,0.4344,0.9062666666666668,0.7332650089001564,0.6509008928978577,0.7962896355555555,0.792458905441198,"[[3258, 4242], [703, 6797]]"
