role,scope,generator,auroc_mean,balanced_accuracy_mean,fake_recall_mean
B2,defactify_full,DALL-E 3,0.8717540711111113,0.6855777777777777,0.9674222222222223
B2,defactify_full,Midjourney 6,0.8168451288888888,0.6665777777777778,0.9294222222222223
B2,defactify_full,Stable Diffusion 2.1,0.8031383229629631,0.6622888888888888,0.9208444444444445
B2,defactify_full,Stable Diffusion 3,0.7728581896296296,0.6500666666666667,0.8964
B2,defactify_full,Stable Diffusion XL,0.7807074548148147,0.6531111111111111,0.902488888888889
B2,defactify_balanced,DALL-E 3,0.8738831407407407,0.6869777777777778,0.9702222222222222
B2,defactify_balanced,Midjourney 6,0.8111365629629631,0.6617555555555557,0.9197777777777777
B2,defactify_balanced,Stable Diffusion 2.1,0.8055528000000001,0.6634222222222222,0.9231111111111111
B2,defactify_balanced,Stable Diffusion 3,0.7727412592592593,0.6474222222222222,0.8911111111111111
B2,defactify_balanced,Stable Diffusion XL,0.7803449481481483,0.6504222222222222,0.8971111111111112
A1,defactify_full,DALL-E 3,0.9144199733333332,0.6962888888888888,0.9824888888888889
A1,defactify_full,Midjourney 6,0.798694562962963,0.6659333333333333,0.9217777777777778
A1,defactify_full,Stable Diffusion 2.1,0.7963497481481481,0.6652666666666667,0.9204444444444445
A1,defactify_full,Stable Diffusion 3,0.7444863703703705,0.6442444444444445,0.8784000000000001
A1,defactify_full,Stable Diffusion XL,0.7262472414814815,0.6392,0.8683111111111111
A1,defactify_balanced,DALL-E 3,0.9145371259259258,0.6959333333333334,0.9817777777777777
A1,defactify_balanced,Midjourney 6,0.7915731703703704,0.6643777777777777,0.9186666666666666
A1,defactify_balanced,Stable Diffusion 2.1,0.7956190222222222,0.6650444444444444,0.9199999999999999
A1,defactify_balanced,Stable Diffusion 3,0.7430059999999999,0.6446000000000001,0.8791111111111111
A1,defactify_balanced,Stable Diffusion XL,0.7303698962962963,0.6381555555555556,0.8662222222222221
