scope,seed,category,count,real_count,fake_count
genimage_unseen,42,both_wrong,179,42,137
genimage_unseen,42,b2_wrong_a1_correct,89,23,66
genimage_unseen,42,b2_correct_a1_wrong,76,15,61
genimage_unseen,42,both_correct,3656,1920,1736
genimage_unseen,42,b2_false_positive,65,65,0
genimage_unseen,42,b2_false_negative,203,0,203
genimage_unseen,42,a1_false_positive,57,57,0
genimage_unseen,42,a1_false_negative,198,0,198
genimage_unseen,43,both_wrong,168,45,123
genimage_unseen,43,b2_wrong_a1_correct,92,26,66
genimage_unseen,43,b2_correct_a1_wrong,70,18,52
genimage_unseen,43,both_correct,3670,1911,1759
genimage_unseen,43,b2_false_positive,71,71,0
genimage_unseen,43,b2_false_negative,189,0,189
genimage_unseen,43,a1_false_positive,63,63,0
genimage_unseen,43,a1_false_negative,175,0,175
genimage_unseen,44,both_wrong,182,39,143
genimage_unseen,44,b2_wrong_a1_correct,91,25,66
genimage_unseen,44,b2_correct_a1_wrong,81,14,67
genimage_unseen,44,both_correct,3646,1922,1724
genimage_unseen,44,b2_false_positive,64,64,0
genimage_unseen,44,b2_false_negative,209,0,209
genimage_unseen,44,a1_false_positive,53,53,0
genimage_unseen,44,a1_false_negative,210,0,210
defactify_full,42,both_wrong,5737,3771,1966
defactify_full,42,b2_wrong_a1_correct,1588,704,884
defactify_full,42,b2_correct_a1_wrong,2013,537,1476
defactify_full,42,both_correct,35662,2488,33174
defactify_full,42,b2_false_positive,4475,4475,0
defactify_full,42,b2_false_negative,2850,0,2850
defactify_full,42,a1_false_positive,4308,4308,0
defactify_full,42,a1_false_negative,3442,0,3442
defactify_full,43,both_wrong,5781,4089,1692
defactify_full,43,b2_wrong_a1_correct,1540,572,968
defactify_full,43,b2_correct_a1_wrong,1640,634,1006
defactify_full,43,both_correct,36039,2205,33834
defactify_full,43,b2_false_positive,4661,4661,0
defactify_full,43,b2_false_negative,2660,0,2660
defactify_full,43,a1_false_positive,4723,4723,0
defactify_full,43,a1_false_negative,2698,0,2698
defactify_full,44,both_wrong,5733,3630,2103
defactify_full,44,b2_wrong_a1_correct,1664,650,1014
defactify_full,44,b2_correct_a1_wrong,2012,612,1400
defactify_full,44,both_correct,35591,2608,32983
defactify_full,44,b2_false_positive,4280,4280,0
defactify_full,44,b2_false_negative,3117,0,3117
defactify_full,44,a1_false_positive,4242,4242,0
defactify_full,44,a1_false_negative,3503,0,3503
defactify_balanced,42,both_wrong,4180,3771,409
defactify_balanced,42,b2_wrong_a1_correct,884,704,180
defactify_balanced,42,b2_correct_a1_wrong,823,537,286
defactify_balanced,42,both_correct,9113,2488,6625
defactify_balanced,42,b2_false_positive,4475,4475,0
defactify_balanced,42,b2_false_negative,589,0,589
defactify_balanced,42,a1_false_positive,4308,4308,0
defactify_balanced,42,a1_false_negative,695,0,695
defactify_balanced,43,both_wrong,4447,4089,358
defactify_balanced,43,b2_wrong_a1_correct,772,572,200
defactify_balanced,43,b2_correct_a1_wrong,832,634,198
defactify_balanced,43,both_correct,8949,2205,6744
defactify_balanced,43,b2_false_positive,4661,4661,0
defactify_balanced,43,b2_false_negative,558,0,558
defactify_balanced,43,a1_false_positive,4723,4723,0
defactify_balanced,43,a1_false_negative,556,0,556
defactify_balanced,44,both_wrong,4065,3630,435
defactify_balanced,44,b2_wrong_a1_correct,862,650,212
defactify_balanced,44,b2_correct_a1_wrong,880,612,268
defactify_balanced,44,both_correct,9193,2608,6585
defactify_balanced,44,b2_false_positive,4280,4280,0
defactify_balanced,44,b2_false_negative,647,0,647
defactify_balanced,44,a1_false_positive,4242,4242,0
defactify_balanced,44,a1_false_negative,703,0,703
