role,scope,metric,mean,sample_sd
B2,genimage_unseen,accuracy,0.93325,0.0016393596310755397
B2,genimage_unseen,balanced_accuracy,0.93325,0.0016393596310755397
B2,genimage_unseen,precision,0.964288042792316,0.0017559121270939362
B2,genimage_unseen,real_recall,0.9666666666666667,0.0018929694486000733
B2,genimage_unseen,fake_recall,0.8998333333333333,0.005131601439446889
B2,genimage_unseen,binary_f1,0.9309376657922658,0.001942038391998266
B2,genimage_unseen,macro_f1,0.9331745799755277,0.0016563144195852145
B2,genimage_unseen,auroc,0.9840714583333333,0.00024919853823474937
B2,genimage_unseen,auprc,0.9818493092051251,0.00015541220862299546
A1,genimage_unseen,accuracy,0.937,0.0031917863337009135
A1,genimage_unseen,balanced_accuracy,0.937,0.0031917863337009135
A1,genimage_unseen,precision,0.9690707497413259,0.0023172099843199066
A1,genimage_unseen,real_recall,0.9711666666666667,0.0025166114784235852
A1,genimage_unseen,fake_recall,0.9028333333333334,0.008892881047969379
A1,genimage_unseen,binary_f1,0.934756865153274,0.003682953771354862
A1,genimage_unseen,macro_f1,0.9369241850727051,0.0032192125610869013
A1,genimage_unseen,auroc,0.9881944166666666,0.00012855357184201957
A1,genimage_unseen,auprc,0.9874154168321786,0.00013654032224613957
B2,defactify_full,accuracy,0.8367185185185185,0.0009504601441389599
B2,defactify_full,balanced_accuracy,0.6635244444444445,0.009654119059490361
B2,defactify_full,precision,0.8856419459534519,0.003648466948166617
B2,defactify_full,real_recall,0.4037333333333333,0.02540236209489189
B2,defactify_full,fake_recall,0.9233155555555557,0.006122095985792773
B2,defactify_full,binary_f1,0.9040690770833312,0.0010624784440332415
B2,defactify_full,macro_f1,0.6777942192482186,0.006661724253434909
B2,defactify_full,auroc,0.8090606334814815,0.001318049317870523
B2,defactify_full,auprc,0.9487426291431099,0.0005492410189657749
A1,defactify_full,accuracy,0.8302518518518518,0.0041893653329596586
A1,defactify_full,balanced_accuracy,0.6621866666666667,0.01142307216898233
A1,defactify_full,precision,0.8857617416036209,0.004601601472246085
A1,defactify_full,real_recall,0.4100888888888889,0.03476660807494795
A1,defactify_full,fake_recall,0.9142844444444443,0.01195191353035299
A1,defactify_full,binary_f1,0.8997472620562474,0.0033843131664945698
A1,defactify_full,macro_f1,0.6726471664762425,0.00602088032519645
A1,defactify_full,auroc,0.7960395792592593,0.0015835712362516556
A1,defactify_full,auprc,0.9459386158515196,0.0005408607200736102
B2,defactify_balanced,accuracy,0.662,0.009739495766094744
B2,defactify_balanced,balanced_accuracy,0.662,0.009739495766094744
B2,defactify_balanced,precision,0.6069414576627572,0.008631948159380919
B2,defactify_balanced,real_recall,0.4037333333333333,0.02540236209489189
B2,defactify_balanced,fake_recall,0.9202666666666667,0.0060236570656408955
B2,defactify_balanced,binary_f1,0.7314127922336026,0.004407337405904985
B2,defactify_balanced,macro_f1,0.6377016644086972,0.013572466674911507
B2,defactify_balanced,auroc,0.8087317422222222,0.0014849891626258914
B2,defactify_balanced,auprc,0.8000355622884007,0.0022823231685308526
A1,defactify_balanced,accuracy,0.6616222222222222,0.011897587679550523
A1,defactify_balanced,balanced_accuracy,0.6616222222222222,0.011897587679550523
A1,defactify_balanced,precision,0.6077516527038949,0.011015205112515048
A1,defactify_balanced,real_recall,0.4100888888888889,0.03476660807494795
A1,defactify_balanced,fake_recall,0.9131555555555555,0.011021057286109305
A1,defactify_balanced,binary_f1,0.7296843605581799,0.004539517322207736
A1,defactify_balanced,macro_f1,0.6384869803922738,0.0173708515163963
A1,defactify_balanced,auroc,0.7950210429629629,0.0016161454750394553
A1,defactify_balanced,auprc,0.7911506567272096,0.0019218044372392616
