scope,generator,auroc_a1_minus_b2,balanced_accuracy_a1_minus_b2,fake_recall_a1_minus_b2
defactify_full,DALL-E 3,0.042665902222221996,0.010711111111111116,0.01506666666666634
defactify_full,Midjourney 6,-0.018150565925925788,-0.0006444444444445585,-0.007644444444444565
defactify_full,Stable Diffusion 2.1,-0.006788574814814985,0.002977777777777857,-0.00039999999999995595
defactify_full,Stable Diffusion 3,-0.028371819259259135,-0.005822222222222173,-0.017999999999999905
defactify_full,Stable Diffusion XL,-0.054460213333333285,-0.013911111111111096,-0.03417777777777786
defactify_balanced,DALL-E 3,0.04065398518518515,0.008955555555555605,0.01155555555555543
defactify_balanced,Midjourney 6,-0.019563392592592654,0.0026222222222220815,-0.0011111111111109517
defactify_balanced,Stable Diffusion 2.1,-0.009933777777777819,0.0016222222222221916,-0.0031111111111111756
defactify_balanced,Stable Diffusion 3,-0.02973525925925935,-0.0028222222222221705,-0.01200000000000001
defactify_balanced,Stable Diffusion XL,-0.049975051851851915,-0.012266666666666648,-0.030888888888889077
