role,seed,transform,feature_mode,threshold,feature_seconds,head_seconds,images_per_second,peak_gpu_memory_mib,total_parameters,trainable_parameters,accuracy,balanced_accuracy,precision,real_recall,fake_recall,binary_f1,macro_f1,auroc,auprc,auroc_delta_from_clean,auprc_delta_from_clean,balanced_accuracy_delta_from_clean
B2,42,clean,final,0.5,,,,,,,0.933,0.933,0.965091299677766,0.9675,0.8985,0.9306059036768514,0.9329201582183192,0.9838525,0.9817089437815648,0.0,0.0,0.0
B2,43,clean,final,0.5,,,,,,,0.935,0.935,0.9622741764080766,0.9645,0.9055,0.933024214322514,0.934943384480344,0.984342625,0.982016322260758,0.0,0.0,0.0
B2,44,clean,final,0.5,,,,,,,0.93175,0.93175,0.9654986522911052,0.968,0.8955,0.929182879377432,0.9316601972279198,0.98401925,0.9818226615730526,0.0,0.0,0.0
B2,42,jpeg,final,0.5,145.41155328901368,0.058547340013319626,27.49705941429618,,151540482.0,263169.0,0.90375,0.90375,0.872634979233964,0.862,0.9455,0.9076073914086873,0.9035819372905685,0.9685153750000001,0.9672293314849003,-0.015337124999999951,-0.014479612296664501,-0.029249999999999998
B2,43,jpeg,final,0.5,145.41155328901368,0.059766968013718724,27.496828879620818,,151540482.0,263169.0,0.901,0.901,0.864877161055505,0.8515,0.9505,0.9056693663649357,0.9007568294212895,0.9683125,0.9666482256908688,-0.016030125000000006,-0.015368096569889134,-0.03400000000000003
B2,44,jpeg,final,0.5,145.41155328901368,0.06226759700803086,27.4963562216049,,151540482.0,263169.0,0.9145,0.9145,0.8943862987630827,0.889,0.94,0.916626036079961,0.9144443674499343,0.9705362500000001,0.9694588038613706,-0.013482999999999912,-0.012363857711682025,-0.017249999999999988
B2,42,resize,final,0.5,166.29034681300982,0.04943599400576204,24.04716377825699,,151540482.0,263169.0,0.901,0.901,0.9083503054989817,0.91,0.892,0.900100908173562,0.9009919803504084,0.9604577500000001,0.957952346129437,-0.02339474999999991,-0.023756597652127787,-0.03200000000000003
B2,43,resize,final,0.5,166.29034681300982,0.046424533997196704,24.047599142436848,,151540482.0,263169.0,0.90175,0.90175,0.8983639067922657,0.8975,0.906,0.9021657953696789,0.9017482253273199,0.9609307500000001,0.9579812433862819,-0.02341187499999997,-0.02403507887447609,-0.03325
B2,44,resize,final,0.5,166.29034681300982,0.05161824499373324,24.04684830196155,,151540482.0,263169.0,0.9005,0.9005000000000001,0.9150259067357513,0.918,0.883,0.8987277353689568,0.9004695187901295,0.959148375,0.9565377295531552,-0.02487087499999996,-0.025284932019897455,-0.03124999999999989
B2,42,blur,final,0.5,172.9988541919738,0.05579020699951798,23.114086385211923,,151540482.0,263169.0,0.899,0.899,0.8829174664107485,0.878,0.92,0.901077375122429,0.8989554393487529,0.9592451250000001,0.957829919893673,-0.024607374999999876,-0.02387902388789176,-0.03400000000000003
