experiment_name,model,train_setting,test_setting,dataset,split_type,train_generators,test_generators,accuracy,precision,recall,f1,auroc,notes,balanced_accuracy,threshold,fake_recall,real_recall,binary_f1,macro_f1,auprc,confusion_matrix
cifake_full_resnet50,ResNet50,outputs/splits/cifake_full_train.csv,outputs/splits/cifake_full_test.csv,CIFAKE,full train/test sanity check,,,0.97375,0.9645063241494264,0.9837,0.974008614287836,0.99722926,CIFAKE is a sanity check confirming the end-to-end training and evaluation pipeline works.,,,,,,,,
genimage_splitB_available_resnet50,ResNet50,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/genimage_splitB_available_test_unseen.csv,GenImage subset,fallback available-generator cross-generator test,"Stable Diffusion V1.5, ADM, BigGAN","GLIDE, Midjourney, Wukong, VQDM",0.905,0.9832935560859188,0.824,0.8966267682263329,0.9782785,"GenImage available split is fallback because Stable Diffusion V1.4 is missing; unseen test uses GLIDE, Midjourney, Wukong, and VQDM.",,,,,,,,
genimage_splitB_available_clip_mlp,CLIP-MLP ViT-B-32,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/genimage_splitB_available_test_unseen.csv,GenImage subset,fallback available-generator cross-generator test,"Stable Diffusion V1.5, ADM, BigGAN","GLIDE, Midjourney, Wukong, VQDM",0.933,0.965091299677766,0.8985,0.9306059036768514,0.98385225,"GenImage available split is fallback because Stable Diffusion V1.4 is missing; unseen test uses GLIDE, Midjourney, Wukong, and VQDM.",,,,,,,,
wildfake_subset_external_available_resnet50,ResNet50,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/wildfake_subset_baseline_test.csv,WildFake subset CelebA-HQ/DDIM,external subset evaluation,"Stable Diffusion V1.5, ADM, BigGAN","DDIM fake, CelebA-HQ real",0.47125,0.4851994851994852,0.9425,0.6406117247238743,0.2549924999999999,"WildFake external evaluation uses a subset, not full WildFake; the subset uses CelebA-HQ as real and DDIM as fake.",,,,,,,,
wildfake_subset_external_available_clip_mlp,CLIP-MLP ViT-B-32,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/wildfake_subset_baseline_test.csv,WildFake subset CelebA-HQ/DDIM,external subset evaluation,"Stable Diffusion V1.5, ADM, BigGAN","DDIM fake, CelebA-HQ real",0.50425,0.5021766965428938,0.9805,0.6641828958509738,0.7441165000000001,"WildFake external evaluation uses a subset, not full WildFake; the subset uses CelebA-HQ as real and DDIM as fake.",,,,,,,,
defactify_external_available_resnet50,ResNet50,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/defactify_official_test.csv,Defactify,official full external evaluation,"Stable Diffusion V1.5, ADM, BigGAN","Stable Diffusion 2.1, Stable Diffusion XL, Stable Diffusion 3, DALL-E 3, Midjourney 6",0.6233111111111111,0.8688830646608983,0.64536,0.7406239958379875,0.6471518257777777,Defactify revision 787334f7857fa54f29027a7f09c30e895ad486ef; external evaluation only; balanced metrics are derived from full predictions.,0.5792133333333334,,,,,,,
defactify_external_available_clip_mlp,CLIP-MLP ViT-B-32,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/defactify_official_test.csv,Defactify,official full external evaluation,"Stable Diffusion V1.5, ADM, BigGAN","Stable Diffusion 2.1, Stable Diffusion XL, Stable Diffusion 3, DALL-E 3, Midjourney 6",0.8372222222222222,0.8856230031948882,0.924,0.9044045676998368,0.8078918755555556,Defactify revision 787334f7857fa54f29027a7f09c30e895ad486ef; external evaluation only; balanced metrics are derived from full predictions.,0.6636666666666666,,,,,,,
pilot_clip_penultimate_genimage_unseen_seed42_v2,clip_mlp,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/genimage_splitB_available_test_unseen.csv,GenImage,unseen-generator pilot,"Stable Diffusion V1.5,ADM,BigGAN","GLIDE,Midjourney,VQDM,Wukong",0.93625,0.9693383539537386,0.901,0.933920704845815,0.9880475,,0.93625,0.5,0.901,0.9715,0.933920704845815,0.9361706880906208,0.9872634407248244,"[[1943, 57], [198, 1802]]"
pilot_dual_level_clip_genimage_unseen_seed42_v2,clip_fusion,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/genimage_splitB_available_test_unseen.csv,GenImage,unseen-generator pilot,"Stable Diffusion V1.5,ADM,BigGAN","GLIDE,Midjourney,VQDM,Wukong",0.9355,0.971830985915493,0.897,0.9329173166926678,0.98687325,,0.9355,0.5,0.897,0.974,0.9329173166926678,0.935404252953941,0.9852834341612964,"[[1948, 52], [206, 1794]]"
pilot_clip_linear_genimage_unseen_seed42_v2,clip_linear,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/genimage_splitB_available_test_unseen.csv,GenImage,unseen-generator pilot,"Stable Diffusion V1.5,ADM,BigGAN","GLIDE,Midjourney,VQDM,Wukong",0.8495,0.8940248027057497,0.793,0.8404875463698993,0.935733125,,0.8495,0.5,0.793,0.906,0.8404875463698993,0.8490180277992421,0.934691637906082,"[[1812, 188], [414, 1586]]"
final_b2_genimage_unseen_seed42_v2,clip_mlp,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/genimage_splitB_available_test_unseen.csv,GenImage,unseen-generator evaluation,"Stable Diffusion V1.5,ADM,BigGAN","GLIDE,Midjourney,VQDM,Wukong",0.933,0.965091299677766,0.8985,0.9306059036768514,0.9838525,,0.933,0.5,0.8985,0.9675,0.9306059036768514,0.9329201582183192,0.9817089437815648,"[[1935, 65], [203, 1797]]"
final_b2_genimage_unseen_seed43_v2,clip_mlp,outputs/splits/genimage_splitB_available_train.csv,outputs/splits/genimage_splitB_available_test_unseen.csv,GenImage,unseen-generator evaluation,"Stable Diffusion V1.5,ADM,BigGAN","GLIDE,Midjourney,VQDM,Wukong",0.935,0.9622741764080766,0.9055,0.933024214322514,0.984342625,,0.935,0.5,0.9055,0.9645,0.933024214322514,0.934943384480344,0.982016322260758,"[[1929, 71], [189, 1811]]"
