fold,role,generator,label,format,width,height,count
holdout_adm,train,BigGAN,0,JPEG,450,450,1
holdout_adm,train,BigGAN,0,JPEG,450,500,3
holdout_adm,train,BigGAN,0,JPEG,452,500,2
holdout_adm,train,BigGAN,0,JPEG,453,500,2
holdout_adm,train,BigGAN,0,JPEG,454,500,5
holdout_adm,train,BigGAN,0,JPEG,455,500,1
holdout_adm,train,BigGAN,0,JPEG,456,500,5
holdout_adm,train,BigGAN,0,JPEG,457,500,2
holdout_adm,train,BigGAN,0,JPEG,458,480,1
holdout_adm,train,BigGAN,0,JPEG,458,500,3
holdout_adm,train,BigGAN,0,JPEG,459,500,7
holdout_adm,train,BigGAN,0,JPEG,460,500,3
holdout_adm,train,BigGAN,0,JPEG,461,500,8
holdout_adm,train,BigGAN,0,JPEG,462,500,4
holdout_adm,train,BigGAN,0,JPEG,463,500,2
holdout_adm,train,BigGAN,0,JPEG,464,454,1
holdout_adm,train,BigGAN,0,JPEG,464,500,6
holdout_adm,train,BigGAN,0,JPEG,465,500,6
holdout_adm,train,BigGAN,0,JPEG,466,500,1
holdout_adm,train,BigGAN,0,JPEG,467,500,4
holdout_adm,train,BigGAN,0,JPEG,468,500,6
holdout_adm,train,BigGAN,0,JPEG,469,500,2
holdout_adm,train,BigGAN,0,JPEG,470,500,3
holdout_adm,train,BigGAN,0,JPEG,471,500,3
holdout_adm,train,BigGAN,0,JPEG,472,500,4
holdout_adm,train,BigGAN,0,JPEG,473,500,3
holdout_adm,train,BigGAN,0,JPEG,474,500,5
holdout_adm,train,BigGAN,0,JPEG,475,500,2
holdout_adm,train,BigGAN,0,JPEG,476,500,8
holdout_adm,train,BigGAN,0,JPEG,477,500,4
holdout_adm,train,BigGAN,0,JPEG,478,500,3
holdout_adm,train,BigGAN,0,JPEG,479,500,1
holdout_adm,train,BigGAN,0,JPEG,480,500,1
holdout_adm,train,BigGAN,0,JPEG,481,500,4
holdout_adm,train,BigGAN,0,JPEG,482,500,3
holdout_adm,train,BigGAN,0,JPEG,483,500,2
holdout_adm,train,BigGAN,0,JPEG,484,500,1
holdout_adm,train,BigGAN,0,JPEG,486,500,2
holdout_adm,train,BigGAN,0,JPEG,487,500,5
holdout_adm,train,BigGAN,0,JPEG,488,500,2
holdout_adm,train,BigGAN,0,JPEG,489,500,2
holdout_adm,train,BigGAN,0,JPEG,490,500,4
holdout_adm,train,BigGAN,0,JPEG,491,500,2
holdout_adm,train,BigGAN,0,JPEG,492,500,5
holdout_adm,train,BigGAN,0,JPEG,493,499,1
holdout_adm,train,BigGAN,0,JPEG,493,500,5
holdout_adm,train,BigGAN,0,JPEG,494,500,1
holdout_adm,train,BigGAN,0,JPEG,495,500,3
holdout_adm,train,BigGAN,0,JPEG,496,495,1
holdout_adm,train,BigGAN,0,JPEG,496,500,4
holdout_adm,train,BigGAN,0,JPEG,497,500,4
holdout_adm,train,BigGAN,0,JPEG,498,500,5
holdout_adm,train,BigGAN,0,JPEG,499,500,3
holdout_adm,train,BigGAN,0,JPEG,500,450,5
holdout_adm,train,BigGAN,0,JPEG,500,451,3
holdout_adm,train,BigGAN,0,JPEG,500,452,1
holdout_adm,train,BigGAN,0,JPEG,500,453,5
holdout_adm,train,BigGAN,0,JPEG,500,454,3
holdout_adm,train,BigGAN,0,JPEG,500,455,7
holdout_adm,train,BigGAN,0,JPEG,500,456,3
holdout_adm,train,BigGAN,0,JPEG,500,457,6
holdout_adm,train,BigGAN,0,JPEG,500,458,6
holdout_adm,train,BigGAN,0,JPEG,500,459,4
holdout_adm,train,BigGAN,0,JPEG,500,460,1
holdout_adm,train,BigGAN,0,JPEG,500,461,5
holdout_adm,train,BigGAN,0,JPEG,500,462,3
holdout_adm,train,BigGAN,0,JPEG,500,463,1
holdout_adm,train,BigGAN,0,JPEG,500,464,8
holdout_adm,train,BigGAN,0,JPEG,500,465,5
holdout_adm,train,BigGAN,0,JPEG,500,466,3
holdout_adm,train,BigGAN,0,JPEG,500,467,2
holdout_adm,train,BigGAN,0,JPEG,500,468,5
holdout_adm,train,BigGAN,0,JPEG,500,469,6
holdout_adm,train,BigGAN,0,JPEG,500,470,3
holdout_adm,train,BigGAN,0,JPEG,500,471,2
holdout_adm,train,BigGAN,0,JPEG,500,472,3
holdout_adm,train,BigGAN,0,JPEG,500,473,5
holdout_adm,train,BigGAN,0,JPEG,500,474,5
holdout_adm,train,BigGAN,0,JPEG,500,475,4
holdout_adm,train,BigGAN,0,JPEG,500,476,3
holdout_adm,train,BigGAN,0,JPEG,500,477,5
holdout_adm,train,BigGAN,0,JPEG,500,478,6
holdout_adm,train,BigGAN,0,JPEG,500,479,7
holdout_adm,train,BigGAN,0,JPEG,500,480,5
holdout_adm,train,BigGAN,0,JPEG,500,481,7
holdout_adm,train,BigGAN,0,JPEG,500,482,4
holdout_adm,train,BigGAN,0,JPEG,500,483,5
holdout_adm,train,BigGAN,0,JPEG,500,484,4
holdout_adm,train,BigGAN,0,JPEG,500,485,3
holdout_adm,train,BigGAN,0,JPEG,500,486,3
holdout_adm,train,BigGAN,0,JPEG,500,487,3
holdout_adm,train,BigGAN,0,JPEG,500,488,2
holdout_adm,train,BigGAN,0,JPEG,500,489,7
holdout_adm,train,BigGAN,0,JPEG,500,490,3
holdout_adm,train,BigGAN,0,JPEG,500,491,5
holdout_adm,train,BigGAN,0,JPEG,500,492,7
holdout_adm,train,BigGAN,0,JPEG,500,493,2
holdout_adm,train,BigGAN,0,JPEG,500,494,2
holdout_adm,train,BigGAN,0,JPEG,500,495,5
holdout_adm,train,BigGAN,0,JPEG,500,496,5
holdout_adm,train,BigGAN,0,JPEG,500,497,2
holdout_adm,train,BigGAN,0,JPEG,500,498,4
holdout_adm,train,BigGAN,0,JPEG,500,499,5
holdout_adm,train,BigGAN,0,JPEG,500,500,121
holdout_adm,train,BigGAN,1,JPEG,128,128,499
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,450,500,2
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,451,480,1
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,451,500,3
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,452,500,2
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,453,500,5
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,454,500,3
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,455,500,3
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,456,500,2
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,457,500,4
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,458,500,2
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,459,500,5
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,460,500,3
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,461,500,3
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,462,500,3
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,463,500,7
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,464,480,1
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,464,500,2
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,465,500,3
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,466,500,3
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,467,500,2
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,468,500,5
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,469,500,2
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,470,500,1
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,471,500,4
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,472,500,2
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,473,500,3
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,474,500,2
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,475,500,1
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,476,500,1
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,477,500,2
holdout_adm,train,Stable Diffusion V1.5,0,JPEG,478,457,1
